dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
2012-06-23,3,1,6,19,0,6,0,1,0.8,0.697,0.27,0.194,425
2012-01-02,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,88
2011-10-28,4,0,10,2,0,5,1,1,0.32,0.303,0.66,0.2836,4
2012-05-29,2,1,5,19,0,2,1,1,0.78,0.7121,0.52,0.3582,526
2011-01-20,1,0,1,0,0,4,1,1,0.26,0.2273,0.56,0.3881,13
2011-02-18,1,0,2,0,0,5,1,1,0.44,0.4394,0.72,0.2836,32
2012-05-03,2,1,5,18,0,4,1,1,0.72,0.6667,0.58,0.1343,706
2011-12-04,4,0,12,7,0,0,0,1,0.26,0.303,0.87,0.0,26
2012-03-14,1,1,3,2,0,3,1,1,0.5,0.4848,0.68,0.194,2
2011-10-26,4,0,10,5,0,3,1,1,0.42,0.4242,0.71,0.2239,21
2012-12-31,1,1,12,0,0,1,1,1,0.18,0.1818,0.55,0.194,34
2012-04-23,2,1,4,22,0,1,1,1,0.32,0.3182,0.76,0.194,89
2012-06-16,2,1,6,16,0,6,0,2,0.72,0.6515,0.37,0.1045,542
2012-06-18,2,1,6,4,0,1,1,2,0.54,0.5152,0.77,0.194,9
2011-09-18,3,0,9,17,0,0,0,2,0.56,0.5303,0.64,0.194,325
2011-03-22,2,0,3,8,0,2,1,2,0.4,0.4091,0.58,0.2985,336
2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
2012-12-01,4,1,12,14,0,6,0,2,0.36,0.3788,0.71,0.0,479
2012-09-23,4,1,9,6,0,0,0,1,0.44,0.4394,0.62,0.2537,16
2012-05-17,2,1,5,17,0,4,1,1,0.66,0.6212,0.31,0.1343,852
2011-01-29,1,0,1,3,0,6,0,1,0.2,0.2121,0.64,0.1343,8
2012-08-20,3,1,8,6,0,1,1,2,0.6,0.5758,0.78,0.1343,161
2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
2011-07-25,3,0,7,10,0,1,1,1,0.82,0.803,0.59,0.0,84
2011-12-15,4,0,12,22,0,4,1,1,0.52,0.5,0.63,0.3284,124
2012-10-22,4,1,10,6,0,1,1,1,0.36,0.3636,0.76,0.0896,144
2012-05-25,2,1,5,2,0,5,1,2,0.62,0.5758,0.83,0.0,23
2012-01-12,1,1,1,15,0,4,1,1,0.44,0.4394,0.72,0.1343,188
2012-01-15,1,1,1,4,0,0,0,2,0.16,0.1364,0.47,0.3881,6
2011-12-16,4,0,12,6,0,5,1,2,0.44,0.4394,0.33,0.2985,82
2012-10-31,4,1,10,3,0,3,1,2,0.3,0.3182,0.81,0.1045,3
2012-07-26,3,1,7,1,0,4,1,1,0.66,0.6212,0.65,0.2239,29
2012-05-10,2,1,5,20,0,4,1,1,0.52,0.5,0.4,0.3284,374
2012-01-14,1,1,1,23,0,6,0,1,0.16,0.1515,0.47,0.2239,76
2012-08-16,3,1,8,0,0,4,1,1,0.66,0.6212,0.69,0.0,76
2012-08-07,3,1,8,17,0,2,1,2,0.78,0.7424,0.62,0.1343,868
2011-09-27,4,0,9,4,0,2,1,3,0.62,0.5455,0.94,0.0896,8
2011-11-23,4,0,11,19,0,3,1,1,0.38,0.3939,0.58,0.3881,122
2012-05-15,2,1,5,21,0,2,1,3,0.64,0.6061,0.73,0.2836,109
2012-08-15,3,1,8,21,0,3,1,1,0.7,0.6515,0.61,0.194,315
